Title,Author,Rating,Rating Count,Genres
Ariadne,Jennifer Saint,3.82,96651,"['Mythology', 'Fantasy', 'Fiction', 'Greek Mythology', 'Historical Fiction', 'Retellings', 'Historical']"
The Anthropocene Reviewed,John Green,4.37,102880,"['Nonfiction', 'Essays', 'Audiobook', 'Memoir', 'History', 'Science', 'Adult']"
Better than the Movies,Lynn Painter,4.3,212698,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Audiobook', 'Young Adult Romance']"
Corrupt,Penelope Douglas,3.82,198888,"['Romance', 'Dark', 'New Adult', 'Contemporary', 'Contemporary Romance', 'College', 'Adult']"
It Happened One Summer,Tessa Bailey,4.0,441012,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Adult', 'Audiobook', 'Chick Lit']"
The Paper Palace,Miranda Cowley Heller,3.83,281552,"['Fiction', 'Romance', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Adult', 'Adult Fiction']"
The Final Girl Support Group,Grady Hendrix,3.54,111086,"['Horror', 'Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Adult', 'Audiobook']"
The Cheat Sheet,Sarah Adams,3.74,178039,"['Romance', 'Sports Romance', 'Contemporary', 'Sports', 'Contemporary Romance', 'Fiction', 'Audiobook']"
Once There Were Wolves,Charlotte McConaghy,4.12,73710,"['Fiction', 'Mystery', 'Contemporary', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Literary Fiction']"
In My Dreams I Hold a Knife,Ashley Winstead,3.9,72828,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Adult', 'Audiobook', 'Contemporary']"
To Love Jason Thorn,Ella Maise,3.81,103393,"['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Adult', 'Fiction', 'Audiobook']"
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,4.24,60448,"['Nonfiction', 'Self Help', 'Philosophy', 'Productivity', 'Psychology', 'Personal Development', 'Audiobook']"
The Island of Missing Trees,Elif Shafak,4.17,78018,"['Fiction', 'Historical Fiction', 'Magical Realism', 'Romance', 'Literary Fiction', 'Fantasy', 'Contemporary']"
A Sky Beyond the Storm,Sabaa Tahir,4.32,52484,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fiction', 'Audiobook', 'High Fantasy']"
The Love Hypothesis,Ali Hazelwood,4.18,1163176,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Adult', 'Audiobook', 'Chick Lit']"
"Beautiful World, Where Are You",Sally Rooney,3.55,342331,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Audiobook', 'Adult', 'Ireland']"
Rock Paper Scissors,Alice Feeney,3.95,323355,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult']"
Apples Never Fall,Liane Moriarty,3.79,305421,"['Fiction', 'Mystery', 'Audiobook', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Adult']"
Cloud Cuckoo Land,Anthony Doerr,4.26,181795,"['Fiction', 'Historical Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Literary Fiction', 'Historical']"
Under the Whispering Door,T.J. Klune,4.17,175030,"['Fantasy', 'Fiction', 'LGBT', 'Romance', 'Audiobook', 'Queer', 'Adult']"
The Hawthorne Legacy,Jennifer Lynn Barnes,4.24,305081,"['Mystery', 'Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Mystery Thriller', 'Thriller']"
The Lincoln Highway,Amor Towles,4.24,231279,"['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Literary Fiction', 'Adventure', 'Book Club']"
A Shadow in the Ember,Jennifer L. Armentrout,4.48,105549,"['Fantasy', 'Romance', 'Fantasy Romance', 'New Adult', 'Adult', 'Paranormal', 'Fiction']"
The Storyteller: Tales of Life and Music,Dave Grohl,4.49,106127,"['Nonfiction', 'Music', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir']"
A Ruin of Roses,K.F. Breene,3.83,42447,"['Fantasy', 'Romance', 'Fantasy Romance', 'Retellings', 'Dragons', 'Paranormal', 'Adult']"
Oh William!,Elizabeth Strout,3.87,73242,"['Fiction', 'Literary Fiction', 'Contemporary', 'Audiobook', 'Family', 'Novels', 'Adult Fiction']"
The Lincoln Highway,Amor Towles,4.24,231279,"['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Literary Fiction', 'Adventure', 'Book Club']"
Small Pleasures,Clare Chambers,3.79,48239,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Contemporary', 'Literary Fiction', 'Audiobook']"
Taste: My Life through Food,Stanley Tucci,4.22,63556,"['Nonfiction', 'Memoir', 'Audiobook', 'Food', 'Biography', 'Biography Memoir', 'Cooking']"
One of Us Is Lying,Karen M. McManus,3.96,747206,"['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Fiction', 'Mystery Thriller', 'Romance']"
Wish You Were Here,Jodi Picoult,3.94,205240,"['Fiction', 'Contemporary', 'Audiobook', 'Romance', 'Adult', 'Adult Fiction', 'Historical Fiction']"
You've Reached Sam,Dustin Thao,3.67,106282,"['Romance', 'Young Adult', 'Contemporary', 'Fantasy', 'Fiction', 'Magical Realism', 'Audiobook']"
Lore Olympus: Volume One,Rachel  Smythe,4.31,107766,"['Graphic Novels', 'Fantasy', 'Romance', 'Mythology', 'Comics', 'Retellings', 'Fiction']"
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.33,61569,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Mental Health', 'Relationships']"
The Sentence,Louise Erdrich,3.98,59655,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Literary Fiction', 'Books About Books', 'Audiobook']"
King of Battle and Blood,Scarlett St. Clair,3.78,84409,"['Fantasy', 'Romance', 'Vampires', 'Fantasy Romance', 'Paranormal', 'Adult', 'New Adult']"
A Not So Meet Cute,Meghan Quinn,4.11,129058,"['Romance', 'Contemporary', 'Contemporary Romance', 'Adult', 'Fiction', 'Chick Lit', 'Humor']"
Gilded,Marissa Meyer,3.91,34942,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Fairy Tales']"
A History of Wild Places,Shea Ernshaw,3.95,52847,"['Mystery', 'Fiction', 'Thriller', 'Fantasy', 'Mystery Thriller', 'Horror', 'Magical Realism']"
Call Us What We Carry: Poems,Amanda Gorman,4.32,19904,"['Poetry', 'Nonfiction', 'Audiobook', 'Race', 'Politics', 'Adult', 'Social Justice']"
If This Gets Out,Sophie Gonzales,3.96,24208,"['Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Fiction', 'Gay']"
Here's to Us,Becky Albertalli,4.05,27187,"['Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Fiction', 'Audiobook']"
Darling Venom,Parker S. Huntington,4.34,44621,"['Romance', 'Dark', 'Contemporary', 'Contemporary Romance', 'Mental Health', 'New Adult', 'Adult']"
Twenty Years Later,Charlie Donlea,4.25,63913,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Crime']"
Beasts of a Little Land,Juhea Kim,3.99,11626,"['Historical Fiction', 'Fiction', 'Historical', 'Asia', 'Adult', 'Literary Fiction', 'War']"
Blood Bonds,J.  Bree,4.26,51528,"['Reverse Harem', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Fantasy Romance', 'New Adult']"
Sinners Anonymous,Somme Sketcher,3.85,40732,"['Romance', 'Dark', 'Contemporary', 'Contemporary Romance', 'Adult', 'Fiction', 'New Adult']"
Twenty Years Later,Charlie Donlea,4.25,63913,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Crime']"
The Spanish Daughter,Lorena Hughes,3.83,14177,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Audiobook', 'Mystery Thriller', 'Romance']"
There Is No Devil,Sophie Lark,3.94,30912,"['Romance', 'Dark', 'Contemporary', 'Contemporary Romance', 'Adult', 'New Adult', 'Thriller']"
Daylight,David Baldacci,4.2,44058,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Crime', 'Suspense', 'Mystery Thriller']"
The Cipher,Isabella Maldonado,4.19,33234,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
